Average of open,Column Labels,,,,,,,,,,,,,,'13,1848.36
COP,65.24337168,74.21031746,58.17603175,42.47130952,47.86916335,58.33576923,57.45911199,3.5%,4.0%,2.8%,2.1%,1.8%,2.3%,,,
COST,112.8893819,121.5805754,147.7775,154.3088095,167.3844223,191.1319231,142.3828239,6.1%,6.6%,7.2%,7.5%,6.3%,7.6%,,,
COTY,16.25421429,16.69007937,25.9289881,25.20043651,18.15364542,19.89076923,20.83531969,0.9%,0.9%,1.3%,1.2%,0.7%,0.8%,,,
CPB,43.44964602,43.85440476,48.30068095,59.46079365,53.79864542,46.68923077,49.8365382,2.4%,2.4%,2.3%,2.9%,2.0%,1.9%,,,
CRM,46.24960265,57.27257937,70.62616667,74.59797619,90.19314741,110.0255769,69.08715584,2.5%,3.1%,3.4%,3.6%,3.4%,4.4%,,,
CSCO,22.83492301,24.22002143,27.8471627,28.77665278,33.12606375,40.69211538,27.72516005,1.2%,1.3%,1.4%,1.4%,1.2%,1.6%,,,
CSRA,,,29.51125,26.57630952,30.79033865,31.84576923,28.87336007,0.0%,0.0%,1.4%,1.3%,1.2%,1.3%,,,
CSX,25.20362832,30.78890873,31.45218254,28.09030992,50.36270916,56.955,33.82160691,1.4%,1.7%,1.5%,1.4%,1.9%,2.3%,,,
CTAS,48.42840796,64.29849206,85.57412698,100.0204365,132.0328287,162.18,88.38347117,2.6%,3.5%,4.2%,4.9%,4.9%,6.5%,,,
CTL,34.30190221,36.53259921,31.45253968,27.94914683,21.9059761,17.43538462,30.08688634,1.9%,2.0%,1.5%,1.4%,0.8%,0.7%,,,
CTSH,38.64710752,48.93107143,62.28446468,57.21373016,66.09221116,75.47,55.38505671,2.1%,2.6%,3.0%,2.8%,2.5%,3.0%,,,
CTXS,66.11433628,63.23553571,69.37353175,81.55757937,82.27677291,91.46230769,73.0272637,3.6%,3.4%,3.4%,4.0%,3.1%,3.6%,,,
CVS,59.33373894,78.35884881,101.6880556,93.0425,77.66268924,78.08769231,82.4079189,3.2%,4.2%,4.9%,4.6%,2.9%,3.1%,,,
CVX,120.9525442,120.550575,96.38043651,99.75757937,111.4624064,127.7153846,109.9590658,6.5%,6.5%,4.7%,4.9%,4.2%,5.1%,,,
CXO,95.8985531,121.2011111,110.4591468,117.8369643,130.0856972,156.3446154,116.3326791,5.2%,6.6%,5.4%,5.8%,4.9%,6.2%,,,
D,60.02170354,69.95845238,70.94710317,73.23972222,78.27276892,76.13923077,70.81461477,3.2%,3.8%,3.4%,3.6%,2.9%,3.0%,,,
DAL,20.7346469,37.61111111,46.15170635,43.12714286,50.00302271,56.62076923,40.25829936,1.1%,2.0%,2.2%,2.1%,1.9%,2.3%,,,
DE,85.47986726,87.79910754,86.17944444,83.93043651,122.2198008,165.3776923,94.74861406,4.6%,4.8%,4.2%,4.1%,4.6%,6.6%,,,
DFS,48.2050885,60.38297619,57.0544246,55.83170635,65.37213147,78.72384615,57.99316124,2.6%,3.3%,2.8%,2.7%,2.4%,3.1%,,,
DG,53.98088496,60.12869048,72.61996032,79.92611111,76.52065737,99.36038462,69.56614376,2.9%,3.3%,3.5%,3.9%,2.9%,4.0%,,,
DGX,59.10464602,59.27061508,70.59537698,78.34960317,100.4947211,102.2261538,74.43211676,3.2%,3.2%,3.4%,3.8%,3.8%,4.1%,,,
DHI,21.50654867,22.72442817,28.43412698,29.71115079,36.82557769,50.61923077,28.43444472,1.2%,1.2%,1.4%,1.5%,1.4%,2.0%,,,
DHR,66.4975,77.382049,88.00900415,86.0918604,85.87739044,98.81423077,81.42052329,3.6%,4.2%,4.3%,4.2%,3.2%,3.9%,,,
DIS,63.99743451,84.51017857,107.9040476,97.41347222,106.3543705,110.3534615,92.98184051,3.5%,4.6%,5.2%,4.8%,4.0%,4.4%,,,
DISCA,80.3491677,62.71503968,30.7225,26.69494603,24.57304781,24.18923077,43.86739738,4.3%,3.4%,1.5%,1.3%,0.9%,1.0%,,,
DISCK,72.89238938,59.90130952,29.08349206,25.84896825,23.66896414,22.98730769,41.26320095,3.9%,3.2%,1.4%,1.3%,0.9%,0.9%,,,
DISH,43.63741106,62.57289683,67.06035714,51.49178571,58.53657371,47.43961538,56.73683471,2.4%,3.4%,3.3%,2.5%,2.2%,1.9%,,,
DLR,58.73460177,59.66494048,67.86055556,92.71587302,113.2247809,109.5353846,79.46162431,3.2%,3.2%,3.3%,4.5%,4.2%,4.4%,,,
DLTR,52.00154867,56.04384921,74.9343254,83.56099206,82.0061753,111.7673077,70.93385226,2.8%,3.0%,3.6%,4.1%,3.1%,4.5%,,,
DOV,82.24619469,84.37547619,67.52472222,67.46519841,85.35494024,103.6223077,77.82842732,4.4%,4.6%,3.3%,3.3%,3.2%,4.1%,,,
DPS,46.45513274,59.29813492,80.18123016,91.32571429,91.75669323,103.1380769,74.95969817,2.5%,3.2%,3.9%,4.5%,3.4%,4.1%,,,
DRE,16.1540708,17.62972222,20.21595238,24.30702381,27.77665339,26.10846154,21.41704527,0.9%,1.0%,1.0%,1.2%,1.0%,1.0%,,,
DRI,50.17150442,50.25017857,65.25948413,64.98496032,82.75342629,97.34269231,63.64211676,2.7%,2.7%,3.2%,3.2%,3.1%,3.9%,,,
DTE,67.87670354,75.80956349,80.58571429,91.45210317,106.6152191,104.7853846,85.21248213,3.7%,4.1%,3.9%,4.5%,4.0%,4.2%,,,
DUK,69.64057522,73.80192421,74.81336905,78.73894841,84.11733705,78.96653846,76.40875338,3.8%,4.0%,3.6%,3.9%,3.1%,3.2%,,,
DVA,59.42328673,71.17130952,77.42063492,68.9852381,63.47892829,77.00153846,68.4625606,3.2%,3.9%,3.8%,3.4%,2.4%,3.1%,,,
DVN,57.91305398,67.51722222,53.06242063,35.83305556,37.70950199,42.58307692,50.10055218,3.1%,3.7%,2.6%,1.8%,1.4%,1.7%,,,
DWDP,,,,,70.54849398,74.405,71.4683945,0.0%,0.0%,0.0%,0.0%,2.6%,3.0%,,,
DXC,,,,,83.97716931,99.77384615,85.88746512,0.0%,0.0%,0.0%,0.0%,3.1%,4.0%,,,
EA,22.59650487,34.25712302,63.98809524,73.70698413,103.8223705,116.0153846,61.5683718,1.2%,1.9%,3.1%,3.6%,3.9%,4.6%,,,
EBAY,53.37828938,53.42778571,44.07343254,27.03595238,35.0447012,40.03230769,42.32241493,2.9%,2.9%,2.1%,1.3%,1.3%,1.6%,,,
ECL,91.20584071,108.5723413,113.4647024,115.2121429,128.9837251,136.7669231,112.4147498,4.9%,5.9%,5.5%,5.6%,4.8%,5.5%,,,
ED,58.04619469,57.39706349,63.17694444,73.98424603,81.13488048,79.99576923,67.18972597,3.1%,3.1%,3.1%,3.6%,3.0%,3.2%,,,
EFX,61.2509292,73.42384921,98.45329365,120.4230357,127.2689442,122.6626923,97.40753773,3.3%,4.0%,4.8%,5.9%,4.8%,4.9%,,,
EIX,48.12504425,56.28041667,61.39930159,70.54829365,77.85749004,62.25269231,63.12193725,2.6%,3.0%,3.0%,3.5%,2.9%,2.5%,,,
EL,68.57172566,73.08079325,83.52115079,88.72690476,99.23949801,132.9488462,83.94429222,3.7%,4.0%,4.1%,4.3%,3.7%,5.3%,,,
EMN,74.30115044,82.92978175,73.27428571,69.5240873,83.82719124,97.99576923,77.25501986,4.0%,4.5%,3.6%,3.4%,3.1%,3.9%,,,
EMR,60.67584071,65.18244048,53.33615079,52.1752381,61.0189243,72.12807692,58.71220413,3.3%,3.5%,2.6%,2.6%,2.3%,2.9%,,,
EOG,74.03352876,99.13284722,85.30519841,83.64188492,95.70864542,113.6111538,88.37528197,4.0%,5.4%,4.1%,4.1%,3.6%,4.5%,,,
EQIX,189.6811504,202.1575397,262.0449603,343.4623016,428.6445817,442.7465385,290.3103018,10.3%,10.9%,12.7%,16.8%,16.0%,17.7%,,,
EQR,55.20393805,62.77209921,76.14781746,67.88559524,65.42593625,61.20653846,65.61108737,3.0%,3.4%,3.7%,3.3%,2.4%,2.4%,,,
EQT,79.66684735,96.32051548,75.13507937,67.86666667,60.55818725,56.71269231,75.44761906,4.3%,5.2%,3.6%,3.3%,2.3%,2.3%,,,
ES,42.41876106,46.07420635,50.00643154,55.21448413,60.6039243,61.40076923,51.25877003,2.3%,2.5%,2.4%,2.7%,2.3%,2.4%,,,
ESRX,62.46572522,73.60353175,86.02261905,72.98347103,64.37282869,78.46384615,72.22598777,3.4%,4.0%,4.2%,3.6%,2.4%,3.1%,,,
ESS,154.7583186,181.2902778,224.4325595,221.6092857,248.6609163,230.5415385,207.681529,8.4%,9.8%,10.9%,10.8%,9.3%,9.2%,,,
ETFC,13.98991195,21.82622183,27.85813492,26.82507937,39.42398406,52.74,26.77423193,0.8%,1.2%,1.4%,1.3%,1.5%,2.1%,,,
ETN,66.21384956,71.17652778,62.87134921,61.71821429,75.09573705,83.50461538,67.76611199,3.6%,3.9%,3.1%,3.0%,2.8%,3.3%,,,
ETR,65.80342478,74.15426587,72.98873016,75.13888889,77.95057769,78.26884615,73.46083717,3.6%,4.0%,3.5%,3.7%,2.9%,3.1%,,,
EVHC,,,,67.4635,53.22996016,35.43961538,52.63104377,0.0%,0.0%,0.0%,3.3%,2.0%,1.4%,,,
